food_id,food_name,image_url,declared_status,http_status,content_type,content_length,access_status,reason
FD0304,pempek kulit,https://upload.wikimedia.org/wikipedia/commons/5/5c/Snack_Dessert.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0305,pempek tenggiri,https://s0.bukalapak.com/uploads/content_attachment/fd3107d582c4f80e5448ada5/original/foto_utama_pempek_2.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0306,pencok lele,https://img-global.cpcdn.com/recipes/385569312441e99f/680x482cq70/pencok-lele-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0307,pepaya lodeh,https://img-global.cpcdn.com/recipes/5355bb65be878c54/680x482cq70/lodeh-pepaya-muda-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0308,pepaya muda,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0309,pepaya segar,https://melayupedia.com/foto_berita/2021/10/2021-10-29-suka-buah-pepaya-yuk-olah-jadi-minuman-yang-segar.jpeg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0310,permen,https://cdn1-production-images-kly.akamaized.net/7v14RDPh4Yi0jn8yPsIj4cl2YyQ=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2054451/original/070398300_1522833158-iStock-153502589.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0311,petis udang pasta,https://cf.shopee.co.id/file/88086a73cd823de9d5e502b27e8ce7f5,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0312,pindang ikan banjar,https://img-global.cpcdn.com/recipes/14d53b21dadc8a0a/680x482cq70/pindang-patin-urang-banjar-ala-ulun-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0313,pindang ikan benggol,https://img-global.cpcdn.com/recipes/c8d60c4a0a1eeb05/680x482cq70/pindang-benggol-bumbu-kecap-mantuuul-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0314,pindang ikan layang,https://img-global.cpcdn.com/recipes/d32672cdc5392959/400x400cq70/photo.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0315,pindang ikan selar kecil,https://img-global.cpcdn.com/recipes/e291e5bf58d67808/680x482cq70/pindang-ikan-selar-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0316,pisang ambon,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0317,pisang goreng,https://awsimages.detik.net.id/community/media/visual/2022/06/28/resep-pisang-goreng-keriting_43.jpeg?w=1200,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0318,pisang hijau segar,https://riaureview.com/assets/berita/original/84297374449-pisang_hiaju.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0319,pisang kepok segar,https://img.okezone.com/content/2013/09/10/299/863930/lWNmq1egxS.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0320,pisang lampung,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0321,pisang mas,https://rumahbuah.com/wp-content/uploads/2015/03/Rumbu_-Pisang02.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0322,pisang mas bali,https://siplahtelkom.com/public/products/124427/3079678/images-48-.1637576152.jpeg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0323,pisang oli,https://i0.wp.com/udfauzi.com/wp-content/uploads/2020/06/Pisang-Uli-Adalah.jpg?resize=700%2C525&ssl=1,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0324,pisang raja,https://asset.kompas.com/crops/cmVXFlilJIrGxAFHn0-5Fu3b43M=/0x141:1000x807/750x500/data/photo/2022/07/21/62d9015c28bcd.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0325,pisang raja sere susu,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/29/954a86e6-5179-4814-8d3e-de1c75f9b198.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0326,pisang siam goreng,https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/2022/12/05/pisang-gorengjpg-20221205080417.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0327,pundut nasi,https://img-global.cpcdn.com/recipes/bd0db074266f1019/1200x630cq70/photo.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0328,putu mayang,https://awsimages.detik.net.id/community/media/visual/2022/05/12/resep-putu-mayang-betawi_43.jpeg?w=1200,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0329,rambutan,https://www.homegrown.in/upload/product/big1193470275.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0330,rambutan aceh,https://lzd-img-global.slatic.net/3rd/q/aHR0cHM6Ly9lY3M3LnRva29wZWRpYS5uZXQvaW1nL2NhY2hlLzcwMC9wcm9kdWN0LTEvMjAxOS84LzE0LzQ2NjQ4NDAvNDY2NDg0MF9lZDU0NThmOS02ODU2LTRkMjAtYWQzMC00ZWJjMjBkODMzZWIuanBn_720x720q80.png_.webp,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0331,rambutan binjai segar,https://images.tokopedia.net/img/cache/700/product-1/2019/11/17/80554416/80554416_20e30e21-1b24-4335-bca5-4a1383855b2c_624_465.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0332,rambutan sinyonya,https://cf.shopee.co.id/file/9dc60c5410cf225b15e15b260ebb9fdc,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0333,rawon daging sapi,https://upload.wikimedia.org/wikipedia/commons/4/48/Rawon%20Setan%20Surabaya.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0334,rempeyek kacang tolo,https://img-global.cpcdn.com/recipes/48ce62ec9bac2146/1200x630cq70/photo.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0335,rempeyek kacang uci,https://img-global.cpcdn.com/recipes/a6f9e4ebc75b128d/680x482cq70/rempeyek-kacang-tanah-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0336,rendang sapi,https://asset.kompas.com/crops/HDe5rLDP0dEOLb6MC_UPvRTwFg8=/0x141:500x474/750x500/data/photo/2021/05/11/609a08809259f.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0337,rengginang goreng,https://cdn.idntimes.com/content-images/community/2019/05/rengginang-manis-768x509-a83023517a0077a930f4f7d1c113f41d.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0338,risoles,https://rasabunda.com/wp-content/uploads/2021/08/Risoles-Ragout.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0339,roti boong,https://img-global.cpcdn.com/recipes/cee92d5a548ee3d5/680x482cq70/kue-bohongroti-goreng-empuk-dan-menul-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0340,roti gambang,https://cdn0-production-images-kly.akamaized.net/TR6XRCpau_4ik-E3GDzTng6DDnU=/0x300:4496x2834/1200x675/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3573373/original/099205200_1631765412-shutterstock_1786072643.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0341,roti putih,https://www.yesdok.com/visual/slideshow/slices-bread-white-background-article-1625550183.jpg?w=1200,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0342,sagu ambon,https://akcdn.detik.net.id/community/media/visual/2019/05/23/5d8019b4-a99b-4aea-a6e1-96be21f8e194_43.jpeg?w=250&q=,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0343,sagu forno,https://awsimages.detik.net.id/community/media/visual/2021/06/25/sagu-porno_43.jpeg?w=650&q=80,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0344,sagu lempeng,https://upload.wikimedia.org/wikipedia/commons/f/fd/Sago_starch_product_sagu_lempeng_from_Maluku%2CID_feb2002.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0345,sagu rendang,https://img-global.cpcdn.com/recipes/52dbe680ea623036/1200x630cq70/photo.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0346,sagu sinole,https://img-global.cpcdn.com/recipes/9051c1a3e2650c22/680x482cq70/kue-kering-sagu-keju-simple-dan-enak-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0347,salak bali segar,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//103/MTA-57912637/no-brand_salak-bali-gula-pasir-asli-manis-segar-1-kg_full01.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0348,salak medan segar,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0349,salak pondoh segar,https://images.tokopedia.net/img/cache/500-square/product-1/2019/12/15/4224508/4224508_f3dc890d-8d6d-4f5d-a6fe-cc43fe6e8567_1064_1064.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0350,sapi daging asap,https://asset.kompas.com/crops/FMBgpWLQutfbdsgz0ZytI8a9JKo=/0x542:1080x1262/750x500/data/photo/2022/03/22/6239b98488b17.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0351,sapi daging kornet,https://s4.bukalapak.com/attachment/418432/pengertian_kornet_main_image.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0352,sapi paru goreng,https://awsimages.detik.net.id/community/media/visual/2022/07/14/resep-paru-goreng-ketumbar_43.jpeg?w=1200,ok,,,,not_checked,manual_real_food_curation_not_live_checked
